AHPS NAME,PROXIMITY,RIVER WATERBODY NAME,NWSLI,LOCATION TYPE,USGS ID,LATITUDE,LONGITUDE,WFO,RFC,STATE,HUC2,INUNDATION,ELEVATION,ACTION STAGE,FLOOD STAGE,MODERATE FLOOD STAGE,MAJOR FLOOD STAGE,FLOOD STAGE UNIT,COEID,HYDROGRAPH,PEDTS,IN SERVICE,LOW WATER THRESHOLD VALUE / UNITS,FORECAST STATUS,DISPLAY LOW WATER IMPACTS,LOW FLOW DISPLAY,GIVE DATA ATTRIBUTION,ATTRIBUTION WORDING,FEMA WMS,PROBABILISTIC SITE,WEEKLY CHANCE PROBABILISTIC ENABLED,SHORT-TERM PROBABILISTIC ENABLED,CHANCE OF EXCEEDING PROBABILISTIC ENABLED,NRLDB VERTICAL DATUM NAME,NRLDB VERTICAL DATUM,NAVD88 VERTICAL DATUM,NGVD29 VERTICAL DATUM,MSL VERTICAL DATUM,OTHER VERTICAL DATUM,COUNTY,TIME ZONE
Harbor Beach Tidal Gauge,at,Lake Huron,HRBM4,River Stage/Flow Location,,43.846667,-82.643333,DTX,NCRFC,MI,Great Lakes Region,No,,582.08,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=dtx&gage=hrbm4,HMIRG,Yes,-9999 Feet,No routine,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Huron,America/New_York
Hornby Precipitation,,,HRBN6,Precipitation Location,,42.230000,-76.991944,BGM,MARFC,NY,Mid Atlantic Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bgm&gage=hrbn6,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Steuben,America/New_York
Harris river campground near Hollis AK,at,Harris River,HRCA2,River Stage/Flow Location,US15085697,55.468056,-132.857222,PAJK,APRFC,AK,Alaska Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pajk&gage=hrca2,HGIRZ,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD29,,,,,,,America/Anchorage
Tarpin Ridge,,,HRCK2,Precipitation Location,,38.387222,-82.662222,RLX,OHRFC,KY,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rlx&gage=hrck2,,Yes,-9999 Feet,No routine,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Boyd,America/New_York
Herculaneum,at,Mississippi River,HRCM7,River Stage/Flow Location,,38.266061,-90.373056,LSX,NCRFC,MO,Upper Mississippi Region,No,,24,26,32,37,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lsx&gage=hrcm7,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD 1988,368.23,368.23,,,,Jefferson,America/Chicago
Carlin,near,Humboldt River,HRCN2,River Stage/Flow Location,US10321000,40.727778,-116.008333,LKN,CNRFC,NV,Great Basin Region,No,,6,7,8,8.5,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lkn&gage=hrcn2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,4935.6,4935.6 ft,,,,,America/Los_Angeles
Sheyenne River Diversion near Horace,above,Sheyenne River,HRCN8,River Stage/Flow Location,US05059300,46.746389,-96.926944,FGF,NCRFC,ND,Souris-Red-Rainy Region,No,890.00 ft,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fgf&gage=hrcn8,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,890.55,890.55 ft,890.00 ft,,,Cass,America/Chicago
HART CORNER NR DOSWELL,at,North Anna River,HRCV2,River Stage/Flow Location,US01671020,37.850000,-77.428056,AKQ,MARFC,VA,Mid Atlantic Region,No,43.0,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=akq&gage=hrcv2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,43,,43.0,,,Hanover,America/New_York
Hardwick,near,Rock River,HRDM5,River Stage/Flow Location,,43.717778,-96.164444,FSD,MBRFC,MN,Missouri Region,No,,12,14,17,22,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fsd&gage=hrdm5,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,Minnesota DNR,Yes,No,N/A,N/A,N/A,NAVD88,1456.87,1456.87,,,,Rock,America/Chicago
Hardin,near,Little Bighorn River,HRDM8,River Stage/Flow Location,US06294000,45.735833,-107.556667,BYZ,MBRFC,MT,Missouri Region,No,2882.29 ft,0,8,10,11.8,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=byz&gage=hrdm8,HGIRZ,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,2882.29,,2882.29 ft,,,Big Horn,America/Denver
Dunphy,at,Humboldt River,HRDN2,River Stage/Flow Location,US10323425,40.705556,-116.53,LKN,CNRFC,NV,Great Basin Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lkn&gage=hrdn2,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,4619.9,4619.9 ft,,,,Eureka,America/Los_Angeles
Hardeeville,above,Savannah River,HRDS1,River Stage/Flow Location,US02198760,32.349638,-81.124832,CHS,SERFC,SC,South Atlantic-Gulf Region,No,0.331,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=chs&gage=hrds1,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,-0.58,-0.58,0.331,,,Jasper,America/New_York
Mount Pleasant in Baltimore,at,Herring Run,HREM2,Stage/Flow and Precipitation Location,,39.353916,-76.573111,LWX,MARFC,MD,Mid Atlantic Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=hrem2,HGIRR,Yes,-9999 Feet,Data Point,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Baltimore city,America/New_York
Elko,near,Humboldt River,HREN2,River Stage/Flow Location,US10318500,40.936556,-115.624167,LKN,CNRFC,NV,Great Basin Region,No,5142.32 ft,5.5,6.2,8,10,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lkn&gage=hren2,HGIRG,Yes,0 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,5142.32,,5142.32 ft,,,Elko,America/Los_Angeles
Hartford,at,Rough River,HRFK2,River Stage/Flow Location,US03319600,37.453056,-86.910833,LMK,OHRFC,KY,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lmk&gage=hrfk2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,351.57,351.57,,,,Ohio,America/Chicago
Waterville NC near Hartford TN,below,Pigeon River,HRFT1,River Stage/Flow Location,,35.783889,-83.112222,MRX,LMRFC,TN,Tennessee Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mrx&gage=hrft1,HGIRG,Yes,-9999 Feet,Data Point,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,,,,Cocke,America/New_York
Horatio,at,Little River,HRGA4,River Stage/Flow Location,US07340000,33.919444,-94.3875,SHV,ABRFC,AR,Arkansas-White-Red Region,No,272.89 ft,20.5,27,28.5,30,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=shv&gage=hrga4,HGIRG,Yes,0 Feet,High Water,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,NGVD 1929,272.89,,272.89 ft,,,Sevier,America/Chicago
Homosassa Springs (In MHHW),at,Gulf of Mexico Tide Gauge,HRHF1,River Stage/Flow Location,,28.813056,-82.605556,TBW,SERFC,FL,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tbw&gage=hrhf1,HGIRG,Yes,-4 Feet,No routine,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,-0.927,Citrus,America/New_York
Harrah,near,North Canadian River,HRHO2,River Stage/Flow Location,US07241550,35.500341,-97.193919,OUN,ABRFC,OK,Arkansas-White-Red Region,No,1055.69,11,14,16,18,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=hrho2,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,1056.03,1056.03,1055.69,,,Oklahoma,America/Chicago
Imlay,near,Humboldt River,HRIN2,River Stage/Flow Location,US10333000,40.692400,-118.2043,REV,CNRFC,NV,Great Basin Region,No,,9.5,10.3,11.2,12,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rev&gage=hrin2,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,4133.2,4133.2,,,,Pershing,America/Los_Angeles
Herrick Drive Columbus,at,Olentangy River,HRKO1,River Stage/Flow Location,US03227107,39.997778,-83.023611,ILN,OHRFC,OH,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=iln&gage=hrko1,HGIR2,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD 1988,0,,,,,Franklin,America/New_York
Kershaw SC,near,Hanging Rock Creek,HRKS1,River Stage/Flow Location,US02131472,34.516100,-80.5829,CAE,SERFC,SC,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=cae&gage=hrks1,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,340.94,340.94,,,,Lancaster,America/New_York
Holcomb Rock,at,James River (VA),HRKV2,River Stage/Flow Location,US02025500,37.501111,-79.262778,RNK,MARFC,VA,Mid Atlantic Region,No,548.53 ft,18,22,24,28,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=hrkv2,HGIRG,Yes,0 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,547.83,547.83,548.53 ft,,,Bedford,America/New_York
Harlem,near,Milk River,HRLM8,River Stage/Flow Location,US06154100,48.489444,-108.757778,TFX,MBRFC,MT,Missouri Region,No,2319.4 ft,20,21,23,25,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tfx&gage=hrlm8,HGIRG,Yes,-9999 Feet,High Water,Yes,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,2319.4,,2319.4 ft,,,Blaine,America/Denver
Almond Dam,at,Canacadea Creek,HRLN6,River Stage/Flow Location,US01523000,42.350000,-77.7,BGM,MARFC,NY,Mid Atlantic Region,No,,1300,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bgm&gage=hrln6,HPIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,,0,,,,,Steuben,America/New_York
Herold,at,Birch River,HRLW2,River Stage/Flow Location,US03196500,38.574823,-80.800933,RLX,OHRFC,WV,Ohio Region,No,,10,12,16,20,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rlx&gage=hrlw2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,931.7,931.7 ft,,,,Braxton,America/New_York
Herman,above,5 Mile Creek,HRMM5,River Stage/Flow Location,US05047490,45.803333,-96.258611,ABR,NCRFC,MN,Souris-Red-Rainy Region,No,,6,7.5,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=abr&gage=hrmm5,HGIRG,Yes,0 Feet,No routine,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,,,,Traverse,America/Chicago
Moncure,near,Haw River,HRMN7,River Stage/Flow Location,US02098206,35.632222,-79.060833,RAH,SERFC,NC,South Atlantic-Gulf Region,No,,16,16,18,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rah&gage=hrmn7,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,155.4,,,,,Chatham,America/New_York
Hyrum,near,Blacksmith Fork River,HRMU1,River Stage/Flow Location,US10113500,41.623545,-111.738829,SLC,CBRFC,UT,Great Basin Region,No,5020.6,6.7,7.6,8.3,9,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=slc&gage=hrmu1,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,Yes,Yes,No,Yes,NGVD29,5020.6,,5020.6,,,Cache,America/Denver
Harlan,at,West Nishnabotna River,HRNI4,River Stage/Flow Location,,41.645388,-95.312665,OAX,MBRFC,IA,Missouri Region,No,,1183.33,1184.3,1187.33,1189.33,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=oax&gage=hrni4,HGIRP,Yes,-9999 Feet,Data Point,No,No,Yes,the Iowa Flood Center,No,No,N/A,N/A,N/A,NAVD88,,,,,,Shelby,America/Chicago
Hermann,at,Missouri River,HRNM7,River Stage/Flow Location,US06934500,38.709722,-91.438611,LSX,MBRFC,MO,Missouri Region,No,481.56 ft,19,21,26,33,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lsx&gage=hrnm7,HGIR3,Yes,-9999 Feet,Year-round,Yes,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD 1988,481.5,481.50 ft,481.56 ft,,,Gasconade,America/Chicago
Hornell,above,Canacadea Creek,HRNN6,River Stage/Flow Location,US01523500,42.334722,-77.683333,BGM,MARFC,NY,Mid Atlantic Region,No,1185.22 ft,4.5,5,6,7,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bgm&gage=hrnn6,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,1185.09,1185.09 ft,1185.22 ft,,,Steuben,America/New_York
Buckhorn,at,,HRNW4,River Stage/Flow Location,US06429500,44.153889,-104.0775,UNR,MBRFC,WY,Missouri Region,No,6090,5,8,10,12,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=unr&gage=hrnw4,HGIRZ,No,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,6090,,6090,,,Weston,America/Denver
Old Bridge Road,at,Hooes Run,HROV2,River Stage/Flow Location,,38.680891,-77.286623,LWX,MARFC,VA,Mid Atlantic Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=hrov2,HGIRR,Yes,-9999 Feet,Data Point,No,No,Yes,Prince William County,No,No,N/A,N/A,N/A,,,,,,,Prince William,America/New_York
Rye Patch,below,Humboldt River,HRPN2,River Stage/Flow Location,US10335000,40.467400,-118.3076,REV,CNRFC,NV,Great Basin Region,No,,10.5,12,12.5,13,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rev&gage=hrpn2,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,4067.7,4067.7,,,,Pershing,America/Los_Angeles
Hiram Rapids,at,Cuyahoga River,HRPO1,River Stage/Flow Location,US04202000,41.340610,-81.16677,CLE,OHRFC,OH,Great Lakes Region,No,,5,7,8,12,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=cle&gage=hrpo1,HGIRG,Yes,,High Water,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,1087.21,1087.21,,,,Portage,America/New_York
Herring Run at Route 40 in Baltimore,at,,HRRM2,Stage/Flow and Precipitation Location,,39.305000,-76.538056,LWX,MARFC,MD,Mid Atlantic Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=hrrm2,HGIRR,Yes,-9999 Feet,Data Point,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Baltimore city,America/New_York
Horseshoe Bend,at,Payette River,HRSI1,River Stage/Flow Location,US13247500,43.943333,-116.196667,BOI,NWRFC,ID,Pacific Northwest Region,No,,13.7,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=boi&gage=hrsi1,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,NGVD29,2625.61,,,,2625 ft,,America/Denver
Vale,above,,HRSS2,River Stage/Flow Location,US06436760,44.652653,-103.36667,UNR,MBRFC,SD,Missouri Region,No,2710 ft,15,17,18,20,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=unr&gage=hrss2,HGIRG,No,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,2710,,2710 ft,,,Butte,America/Denver
Hearthstone Lake Dam,above,Little River,HRSV2,Stage/Flow and Precipitation Location,,38.395000,-79.16,LWX,MARFC,VA,Mid Atlantic Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=hrsv2,HGIRR,Yes,-9999 Feet,Data Point,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,,,,Augusta,America/New_York
Hartwell Dam,at,Savannah River,HRTG1,River Stage/Flow Location,US02187250,34.357300,-82.8224,GSP,SERFC,GA,South Atlantic-Gulf Region,No,,662,665,670,680,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=hrtg1,HPIRZ,Yes,-9999 Feet,Year-round,No,No,No,US Geological Survey,No,Yes,Yes,No,Yes,,0,,,,0 ft,Hart,America/New_York
Hartwick,near,Walnut Creek (East Central IA),HRTI4,Stage/Flow and Precipitation Location,US05452200,41.834997,-92.386297,DMX,NCRFC,IA,Upper Mississippi Region,No,,12,14,0,0,FT,MVR,https://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=hrti4,HGIRV,Yes,-9999 Feet,Data Point,Yes,Yes,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,786.48,786.48 ft,,,,Poweshiek,America/Chicago
Hartsville,,,HRTN6,Precipitation Location,,42.253889,-77.700833,BGM,MARFC,NY,Mid Atlantic Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bgm&gage=hrtn6,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Steuben,America/New_York
Harriettsville,below,East Fork Duck Creek,HRTO1,River Stage/Flow Location,US03115644,39.612778,-81.371944,PBZ,OHRFC,OH,Ohio Region,No,,11,17,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=hrto1,HGIRG,Yes,-9999 Feet,No routine,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,NAV88,647.56,647.56,,,,Noble,America/New_York
Hartleton,,,HRTP1,Precipitation Location,,40.923054,-77.154724,CTP,MARFC,PA,Mid Atlantic Region,No,,0,0,0,0,FT,BAL,https://water.weather.gov/ahps2/hydrograph.php?wfo=ctp&gage=hrtp1,,No,0 Feet,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Union,America/New_York
Harvey,near,Chocolay River,HRVM4,River Stage/Flow Location,,46.489167,-87.331111,MQT,NCRFC,MI,Great Lakes Region,No,,9.5,10,11.5,13,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mqt&gage=hrvm4,HGIRZ,Yes,-9999 Feet,High Water,No,No,Yes,Volunteer Cooperative Observer,Yes,Yes,Yes,Yes,Yes,NAVD 1988,599.19,599.19,,,,Marquette,America/New_York
Hartville,,,HRVO1,Precipitation Location,,40.926667,-81.323889,CLE,OHRFC,OH,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=cle&gage=hrvo1,,No,-9999 Feet,No routine,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Stark,America/New_York
Van Dorn Street,at,Holmes Run,HRVV2,Stage/Flow and Precipitation Location,,38.820000,-77.127778,LWX,MARFC,VA,Mid Atlantic Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=hrvv2,HGIRR,Yes,-9999 Feet,Data Point,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,,,,Alexandria city,America/New_York
Wrangell,near,,HRWA2,River Stage/Flow Location,US15022000,56.213333,-131.636667,PAJK,APRFC,AK,Alaska Region,No,NULL,12.12,12.7,14.5,15.8,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pajk&gage=hrwa2,HGIRG,No,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD29,,,NULL,,,,America/Anchorage
Horseshoe Point (in MHHW),at,Gulf of Mexico Tide Gauge,HSBF1,River Stage/Flow Location,,29.437000,-83.293,TAE,SERFC,FL,South Atlantic-Gulf Region,No,,1,2,3,5,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=hsbf1,,Yes,-9999 Feet,Year-round,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,,1.5,,,0,Dixie,America/New_York
Horse Branch,at,Caney Creek (KY),HSBK2,River Stage/Flow Location,US03318800,37.463889,-86.655556,LMK,OHRFC,KY,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lmk&gage=hsbk2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,415.94,415.94,,,,Ohio,America/Chicago
Hanscom Field,at,Shawsheen River,HSCM3,River Stage/Flow Location,US01100568,42.467039,-71.272279,BOX,NERFC,MA,New England Region,No,,5,6,7,8,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=box&gage=hscm3,HGIRZ,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,114.19,114.19,,,,Middlesex,America/New_York
Homosassa Springs (In MHHW),at,Gulf of Mexico Tide Gauge,HSEF1,River Stage/Flow Location,,28.797222,-82.59,TBW,SERFC,FL,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tbw&gage=hsef1,HGIRG,Yes,-4 Feet,No routine,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,-0.62,,,-1.53,Hernando,America/New_York
Houston,at,Sims Bayou,HSIT2,River Stage/Flow Location,US08075500,29.674167,-95.289167,HGX,WGRFC,TX,Texas-Gulf Region,No,,23.2,26.2,27.2,28.2,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=hgx&gage=hsit2,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,0,,,,NULL,Harris,America/Chicago
Lake Houston,at,San Jacinto River,HSJT2,River Stage/Flow Location,US08072000,29.916111,-95.141111,HGX,WGRFC,TX,Texas-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=hgx&gage=hsjt2,HPIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,0,,,,NULL,Harris,America/Chicago
Haskell,near,Arkansas River,HSKO2,River Stage/Flow Location,US07165570,35.822222,-95.639444,TSA,ABRFC,OK,Arkansas-White-Red Region,No,530 ft,18,19,21,23,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tsa&gage=hsko2,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,530,,530 ft,,,,America/Chicago
Hanston,at,Buckner Creek,HSNK1,River Stage/Flow Location,US07141000,38.118450,-99.71616,DDC,ABRFC,KS,Arkansas-White-Red Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ddc&gage=hsnk1,HGIRG,Yes,-9999 Feet,No routine,No,Yes,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,2134.62,2134.62,,,,Hodgeman,America/Chicago
High Springs (in NAVD88),near,Santa Fe River,HSPF1,River Stage/Flow Location,,29.852500,-82.608611,JAX,SERFC,FL,South Atlantic-Gulf Region,No,0.8,34,35,39,46,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=hspf1,HGIRG,Yes,30.8 Feet,High Water,No,No,Yes,SRWMD,Yes,Yes,Yes,Yes,Yes,,0,0,0.8,,,Alachua,America/New_York
Hot Springs,near,French Broad River,HSPN7,River Stage/Flow Location,US03454500,35.889722,-82.821111,GSP,LMRFC,NC,Tennessee Region,No,1311.55,7.5,9.5,16,21,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=hspn7,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,1311.1,,1311.55,,,Madison,America/New_York
Heisson,near,East Fork Lewis River,HSSW1,River Stage/Flow Location,US14222500,45.836667,-122.466111,PQR,NWRFC,OR,Pacific Northwest Region,No,356.8,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pqr&gage=hssw1,HGIRG,Yes,0 Feet,Year-round,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD 1929,356.8,,356.8,,,,America/Los_Angeles
Arlington,near,Hassayampa River,HSTA3,River Stage/Flow Location,US09517000,33.347264,-112.725726,PSR,CBRFC,AZ,Lower Colorado Region,No,,15,17,20,25,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=psr&gage=hsta3,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,,822.68,,,,824.75 ft,,America/Phoenix
Hastings,at,Thornapple River,HSTM4,River Stage/Flow Location,US04117500,42.615869,-85.236393,GRR,NCRFC,MI,Great Lakes Region,No,,5,7,9,10,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=grr&gage=hstm4,HGIRZ,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,786.31,786.31 ft,,,,Barry,America/New_York
Hastings - Lock and Dam 2 Tailwater,at,Mississippi River,HSTM5,River Stage/Flow Location,,44.756944,-92.866111,MPX,NCRFC,MN,Upper Mississippi Region,No,,13,15,17,18,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mpx&gage=hstm5,HTIRG,Yes,-9999 Feet,Navigation Season,No,No,Yes,US Army COE (7012016),Yes,Yes,Yes,Yes,Yes,1912,670.65,,,,670.65 ft,Dakota,America/Chicago
Wilson,at,Hominy Swamp,HSWN7,Stage/Flow and Precipitation Location,,35.719800,-77.9201,RAH,SERFC,NC,South Atlantic-Gulf Region,No,,13,17,19,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rah&gage=hswn7,HGIRG,Yes,-9999 Feet,Data Point,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Wilson,America/New_York
